MENTION;MENTION (AR);CODE;SEMESTRE;SESSION;FILIERE;VERSION;CODE ETUDES
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;DROIT PUBLIC EN FRAN«AIS;VERSION 25;LV25DUFTCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;GESTION;VERSION 25;LV25GESTCAS3
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;GESTION;VERSION 25;LV25GESTCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;ECONOMIE;VERSION 25;LV25ECOTCAS3
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;ECONOMIE;VERSION 25;LV25ECOTCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;DROIT PRIV… EN ARABE ;VERSION 25;LV25DRATCAS3
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;CONTENTIEUX DES AFFAIRES;VERSION 25;MRV25MCATCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;CONTENTIEUX DES AFFAIRES;VERSION 25;MRV25MCATCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;SCIENCES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;MEV25SAF12TCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;SCIENCES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;MEV25SAF12TCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;SCIENCES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;MEV25SAF12TCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;SCIENCES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;MEV25SAF12TCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;BANQUE, FINANCE ET ACTUARIAT ;VERSION 25;MEV25BFA1TCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;BANQUE, FINANCE ET ACTUARIAT ;VERSION 25;MEV25BFA1TCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;BANQUE, FINANCE ET ACTUARIAT ;VERSION 25;MEV25BFA1TCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;BANQUE, FINANCE ET ACTUARIAT ;VERSION 25;MEV25BFA1TCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 25;MRV25MDPCTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 25;MRV25MDPCTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;ING…NIERIE FINANCI»RE;VERSION 25;MRV25IFTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;ING…NIERIE FINANCI»RE;VERSION 25;MRV25IFTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;MANAGEMENT DES PROJETS DE D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25MPDTTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;MANAGEMENT DES PROJETS DE D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25MPDTTCPS8
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEATCAS1
TRONC COMMUN;;TC;SEMESTRE 2;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEATCPS2
TRONC COMMUN;;TC;SEMESTRE 3;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEATCAS3
TRONC COMMUN;;TC;SEMESTRE 4;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEATCPS4
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFTCAS1
TRONC COMMUN;;TC;SEMESTRE 2;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFTCPS2
TRONC COMMUN;;TC;SEMESTRE 3;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFTCAS3
TRONC COMMUN;;TC;SEMESTRE 4;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFTCPS4
ECONOMIE ET GESTION;«·«ﬁ ’«œ Ê«· œ»Ì—;EEG;SEMESTRE 5;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 26;LFV26SEGEEGAS5
ECONOMIE ET GESTION;«·«ﬁ ’«œ Ê«· œ»Ì—;EEG;SEMESTRE 6;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 26;LFV26SEGEEGPS6
GESTION;«· œ»Ì—;GES;SEMESTRE 5;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 26;LFV26SEGGESAS5
GESTION;«· œ»Ì—;GES;SEMESTRE 6;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 26;LFV26SEGGESPS6
DROIT PRIVE;«·ﬁ«‰Ê‰ «·Œ«’;PRA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEAPRAAS5
DROIT PRIVE;«·ﬁ«‰Ê‰ «·Œ«’;PRA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEAPRAPS6
DROIT PRIVE;«·ﬁ«‰Ê‰ «·Œ«’;PRF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFPRFAS5
DROIT PRIVE;«·ﬁ«‰Ê‰ «·Œ«’;PRF;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFPRFPS6
DROIT PUBLIC;«·ﬁ«‰Ê‰ «·⁄«„;PUA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEAPUAAS5
DROIT PUBLIC;«·ﬁ«‰Ê‰ «·⁄«„;PUA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 26;LFV26DEAPUAPS6
DROIT PUBLIC;«·ﬁ«‰Ê‰ «·⁄«„;PUF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 26;LFV26DEFPUFAS5
